"ID","Name_submitted","Overall_score","Name_matched_id","Name_matched","Name_score","Name_matched_rank","Author_submitted","Author_matched","Author_score","Canonical_author","Name_matched_accepted_family","Genus_submitted","Genus_matched","Genus_score","Specific_epithet_submitted","Specific_epithet_matched","Specific_epithet_score","Family_submitted","Family_matched","Family_score","Infraspecific_rank","Infraspecific_epithet_matched","Infraspecific_epithet_score","Infraspecific_rank_2","Infraspecific_epithet_2_matched","Infraspecific_epithet_2_score","Annotations","Unmatched_terms","Name_matched_url","Name_matched_lsid","Phonetic","Taxonomic_status","Accepted_name","Accepted_species","Accepted_name_author","Accepted_name_id","Accepted_name_rank","Accepted_name_url","Accepted_name_lsid","Accepted_family","Overall_score_order","Highertaxa_score_order","Source","Warnings","WarningsEng"
"287","Echinocereus_viereckii",0.9,"654227","Echinocereus viereckii",1,"species","","",NA,"Werderm.","Cactaceae","Echinocereus","Echinocereus",1,"viereckii","viereckii",1,"","",NA,"","",NA,"","",NA,"","_","https://caryophyllales.org/cdm_dataportal/taxon/a971d93c-95b7-4730-a775-949611244fcc","","Y","Accepted","Echinocereus viereckii","Echinocereus viereckii","Werderm.","654227","species","https://caryophyllales.org/cdm_dataportal/taxon/a971d93c-95b7-4730-a775-949611244fcc","","Cactaceae","1","1","cact","0",""
"288","Echinocereus_parkeri",0.9,"654025","Echinocereus parkeri",1,"species","","",NA,"N.P.Taylor","Cactaceae","Echinocereus","Echinocereus",1,"parkeri","parkeri",1,"","",NA,"","",NA,"","",NA,"","_","https://caryophyllales.org/cdm_dataportal/taxon/b37a8586-77d9-4fbc-8de6-d620995619a6","","Y","Accepted","Echinocereus parkeri","Echinocereus parkeri","N.P.Taylor","654025","species","https://caryophyllales.org/cdm_dataportal/taxon/b37a8586-77d9-4fbc-8de6-d620995619a6","","Cactaceae","1","1","cact","0",""
"289","Echinocereus_nivosus",0.9,"654008","Echinocereus nivosus",1,"species","","",NA,"Glass & R.A.Foster","Cactaceae","Echinocereus","Echinocereus",1,"nivosus","nivosus",1,"","",NA,"","",NA,"","",NA,"","_","https://caryophyllales.org/cdm_dataportal/taxon/c5103e22-120f-4be5-ba68-cd5842c0442d","","Y","Accepted","Echinocereus nivosus","Echinocereus nivosus","Glass & R.A.Foster","654008","species","https://caryophyllales.org/cdm_dataportal/taxon/c5103e22-120f-4be5-ba68-cd5842c0442d","","Cactaceae","1","1","cact","0",""
"290","Echinocereus_cinerascens",0.9,"653841","Echinocereus cinerascens",1,"species","","",NA,"(DC.) Lem.","Cactaceae","Echinocereus","Echinocereus",1,"cinerascens","cinerascens",1,"","",NA,"","",NA,"","",NA,"","_","https://caryophyllales.org/cdm_dataportal/taxon/5ba2bca2-1d9c-42e7-b489-82071973defa","","Y","Accepted","Echinocereus cinerascens","Echinocereus cinerascens","(DC.) Lem.","653841","species","https://caryophyllales.org/cdm_dataportal/taxon/5ba2bca2-1d9c-42e7-b489-82071973defa","","Cactaceae","1","1","cact","0",""
"291","Echinocereus_schmollii",0.9,"654160","Echinocereus schmollii",1,"species","","",NA,"(Weing.) N.P.Taylor","Cactaceae","Echinocereus","Echinocereus",1,"schmollii","schmollii",1,"","",NA,"","",NA,"","",NA,"","_","https://caryophyllales.org/cdm_dataportal/taxon/5df6185c-885e-40d2-87b5-2f17fbc0e44b","","Y","Accepted","Echinocereus schmollii","Echinocereus schmollii","(Weing.) N.P.Taylor","654160","species","https://caryophyllales.org/cdm_dataportal/taxon/5df6185c-885e-40d2-87b5-2f17fbc0e44b","","Cactaceae","1","1","cact","0",""
"292","Echinocereus_mapimiensis",0.9,"653981","Echinocereus mapimiensis",1,"species","","",NA,"E.F.Anderson, W.C.Hodgs. & P.Quirk","Cactaceae","Echinocereus","Echinocereus",1,"mapimiensis","mapimiensis",1,"","",NA,"","",NA,"","",NA,"","_","https://caryophyllales.org/cdm_dataportal/taxon/beb34de8-950e-45e9-8102-c3240513096a","","Y","Accepted","Echinocereus mapimiensis","Echinocereus mapimiensis","E.F.Anderson, W.C.Hodgs. & P.Quirk","653981","species","https://caryophyllales.org/cdm_dataportal/taxon/beb34de8-950e-45e9-8102-c3240513096a","","Cactaceae","1","1","cact","0",""
"293","Echinocereus_poselgeri",0.9,"654075","Echinocereus poselgeri",1,"species","","",NA,"Lem.","Cactaceae","Echinocereus","Echinocereus",1,"poselgeri","poselgeri",1,"","",NA,"","",NA,"","",NA,"","_","https://caryophyllales.org/cdm_dataportal/taxon/664cebdd-eebe-47de-b81d-ce613078d029","","Y","Accepted","Echinocereus poselgeri","Echinocereus poselgeri","Lem.","654075","species","https://caryophyllales.org/cdm_dataportal/taxon/664cebdd-eebe-47de-b81d-ce613078d029","","Cactaceae","1","1","cact","0",""
"294","Echinocereus_longisetus",0.9,"653972","Echinocereus longisetus",1,"species","","",NA,"(Engelm.) Lem.","Cactaceae","Echinocereus","Echinocereus",1,"longisetus","longisetus",1,"","",NA,"","",NA,"","",NA,"","_","https://caryophyllales.org/cdm_dataportal/taxon/ca83baba-b37d-433e-b232-12b90786a19a","","Y","Accepted","Echinocereus longisetus","Echinocereus longisetus","(Engelm.) Lem.","653972","species","https://caryophyllales.org/cdm_dataportal/taxon/ca83baba-b37d-433e-b232-12b90786a19a","","Cactaceae","1","1","cact","0",""
"295","Echinocereus_stolonifer",0.9,"654175","Echinocereus stolonifer",1,"species","","",NA,"W.T.Marshall","Cactaceae","Echinocereus","Echinocereus",1,"stolonifer","stolonifer",1,"","",NA,"","",NA,"","",NA,"","_","https://caryophyllales.org/cdm_dataportal/taxon/136482c3-c574-4854-a5dd-62cb7c1149c3","","Y","Accepted","Echinocereus stolonifer","Echinocereus stolonifer","W.T.Marshall","654175","species","https://caryophyllales.org/cdm_dataportal/taxon/136482c3-c574-4854-a5dd-62cb7c1149c3","","Cactaceae","1","1","cact","0",""
"296","Polaskia_chende",0.9,"1238251","Polaskia chende",1,"species","","",NA,"(Rol.-Goss.) A.C.Gibson & K.E.Horak","Cactaceae","Polaskia","Polaskia",1,"chende","chende",1,"","",NA,"","",NA,"","",NA,"","_","https://caryophyllales.org/cdm_dataportal/taxon/9853659d-46c4-42e2-bdaf-6c1ab64e955d","","Y","Accepted","Polaskia chende","Polaskia chende","(Rol.-Goss.) A.C.Gibson & K.E.Horak","1238251","species","https://caryophyllales.org/cdm_dataportal/taxon/9853659d-46c4-42e2-bdaf-6c1ab64e955d","","Cactaceae","1","1","cact","0",""
