"species","rangeSize100","rangeSize0","GCM","nicheSize","nicheDensity","rangeChange0_SSP1","rangeChange0_SSP3","rangeChange0_SSP5","rangeChange100_SSP1","rangeChange100_SSP3","rangeChange100_SSP5"
"Disocactus nelsonii",81390,41803,"UKESM1-0-LL",21.6086510945544,1982975,3.09090256680143,3.09496926057938,3.09496926057938,2.70315763607323,2.7052463447598,2.7052463447598
"Disocactus speciosus",267938,248984,"GFDL-ESM4",21.0256849156114,1659554,0.216568132892073,0,0,0.234692354201345,0,0
"Echinocactus horizonthalonius",899002,750247,"UKESM1-0-LL",14.6027481031284,1223347,0.976611702545962,0.900459448688232,1.03260926068348,0.959807653375632,0.889238288680114,1.00179421180376
"Echinocactus platyacanthus",321240,301359,"GFDL-ESM4",21.5204785299303,1664107,0.0305582378492097,0,0,0.0562103100485618,0,0
"Echinocereus acifer",204798,161920,"MPI-ESM1-2-HR",19.8715466486566,1355411,1.26232089920949,1.26232089920949,1.26232089920949,1.52572779031045,1.52581079893358,1.52581079893358
"Echinocereus arizonicus",229805,165633,"GFDL-ESM4",5.84827903393787,591454,0,0,0,0.00192772132895281,0,0
"Echinocereus bonkerae",76502,42207,"UKESM1-0-LL",5.01280938439157,601736,1.76394910796787,1.76394910796787,1.76394910796787,1.95915139473478,1.95915139473478,1.93813233640951
"Echinocereus brandegeei",54501,45882,"GFDL-ESM4",10.0509664551298,977962,0.00196155355041193,0,0,0.00299077081154474,0,0
"Echinocereus chloranthus",206303,129164,"MPI-ESM1-2-HR",9.74353568183911,703138,1.21293858969992,1.42271066241368,0.783809730265399,1.24428146948905,1.45210200530288,0.882372045001769
"Echinocereus cinerascens",136382,91436,"GFDL-ESM4",11.9783110008172,1162372,0.408701168030098,1.22604882103329,1.25755719847762,0.494398087724186,1.32585678461967,1.39238315906791
"Echinocereus dasyacanthus",409754,363914,"MPI-ESM1-2-HR",11.9787997018106,954091,1.38414020895047,1.39515380007364,1.39515380007364,1.53607042274145,1.54585190138473,1.54585190138473
"Echinocereus enneacanthus",782353,726503,"GFDL-ESM4",21.4845766246285,1688783,0.544951638190069,0.103780713913088,0.0632853546372142,0.62030566764619,0.126518336352005,0.0959323988020753
"Echinocereus ferreiranus",31460,20698,"MPI-ESM1-2-HR",1.67641449581412,185767,0,0,0,0,0,0
"Echinocereus huitcholensis",71028,49065,"MPI-ESM1-2-HR",12.5063242213385,856533,0.00232344848670131,0,0,0.00299881736779861,0,0
"Echinocereus knippelianus",9412,6571,"UKESM1-0-LL",3.86786289646043,238128,3.95373611322478,3.92938669913255,3.98721655760158,8.20133871653209,7.73491287717807,7.74840628984275
"Echinocereus longisetus",68552,44474,"MPI-ESM1-2-HR",2.83197392932271,357817,0,0,0,0,0,0
"Echinocereus maritimus",50258,46051,"GFDL-ESM4",3.19306654953889,388455,1.54285466113657,1.54285466113657,1.54285466113657,1.88867443989017,1.88867443989017,1.88867443989017
"Echinocereus nicholii",117395,67958,"UKESM1-0-LL",4.24797370906787,559484,0.512360575649666,0.210747814826805,0.310839047647076,0.477907917713702,0.279867115294519,0.352595936794582
"Echinocereus occidentalis",130539,76278,"MPI-ESM1-2-HR",5.38307002931851,459622,0,0,0,3.06421835620006e-05,0,0
"Echinocereus pacificus",6490,4028,"GFDL-ESM4",3.01956131180239,277382,2.94165839126117,2.94165839126117,2.94165839126117,6.89922958397535,6.89922958397535,6.89922958397535
"Echinocereus palmeri",25164,21235,"UKESM1-0-LL",0.60894751437719,59572,0.0797739580880622,0.023687308688486,0.00631033670826466,0.264981719917342,0.0229295819424575,0.0976792242886663
"Echinocereus papillosus",33493,9530,"UKESM1-0-LL",0.950250256771158,40378,0,0,0,0,0,0
"Echinocereus parkeri",87388,54709,"MPI-ESM1-2-HR",14.0295493474783,1170051,0,0,0,0,0,0
"Echinocereus pectinatus",822036,744079,"GFDL-ESM4",18.9354629287853,1465490,0.902535886646445,0.754067780437292,0.818480295775045,0.911175422974176,0.76991883567143,0.829838352578233
"Echinocereus pentalophus",349443,328310,"MPI-ESM1-2-HR",24.7582688808922,1718781,1.35351344765618,1.36388474307819,1.36388474307819,1.48507768076625,1.49484465277599,1.49484465277599
"Echinocereus polyacanthus",317614,255816,"MPI-ESM1-2-HR",13.8571983805491,1162333,1.0207336523126,0.942986365199987,1.32593739250086,1.02088698860881,0.935232703848067,1.42650198039129
"Echinocereus poselgeri",136575,98905,"UKESM1-0-LL",5.96654516943112,280884,0,0,0,0,0,0
"Echinocereus pseudopectinatus",34038,19726,"UKESM1-0-LL",2.65790549572392,296984,1.76939065193146,1.76939065193146,1.76939065193146,3.51765673658852,3.54483224631294,3.54483224631294
"Echinocereus relictus",15382,1368,"MPI-ESM1-2-HR",0.755104331620725,45443,1.21710526315789,0,0,2.16863866857366,0,0
